제목,기관,보도자료링크
소상공인AI 상생협업 교육,한국생산성본부_서울,
자생적 학습공간 활성화를 위한 네트워크 워크숍 : 퍼실리테이션,의정부도시교육재단,
사회복지사 대상 클로드 사용법,한국노인종합복지관협회,
빅데이터를 통한 기상청 데이터 활용,기상기후인재개발원,https://www.fntoday.co.kr/news/articleView.html?idxno=392205
디지털자산 제작,한국생산성본부_전주,
소상공인AI 상생협업 교육,한국생산성본부_수원,
AI활용_정확한 프롬프트 사용방법,(주)타이거일렉,https://www.didimkorea.net/news/539923
데이터 분석,한국생산성본부_서울,
홍보 콘텐트 제작,한국생산성본부_광주,
AI 스마트폰 활용,성북구 평생학습관,https://www.didimkorea.net/news/526749
AI 스마트폰 활용,남현동 주민센터,
다문화가족을 위한 AI 에듀테크 활용,함평천지종합복지관,https://www.didimkorea.net/news/514722
AI 디지털배움터 - 디지털 안내사 면접관,창동 아우르네,https://blog.naver.com/dclay_edu/224326452760
AI윤리 + 리터러시 자격 강사 양성 과정,미래디지털AI협회,https://www.didimkorea.net/news/514713
현업 임직원대상 AI활용 데이터 분석,용인시 산업진흥원,https://www.didimkorea.net/news/509863
AI진화의 흐름과 우리 삶의 변화 (특강),서초구립 느티나무쉼터,https://www.didimkorea.net/news/511753
리더의 MZ세대 소통,근로복지공단 인재개발원,https://cafe.naver.com/mydigitalai/241
클로드 AI 에이전트 사용법,서울복지재단,https://www.didimkorea.net/news/514717
예비창업자 대상 AI활용 사업계획서 작성하기,용인시 산업진흥원,https://www.didimkorea.net/news/506039
AI디지털리터러시 자격 과정: 강사양성,경기도교육청 평생학습관,https://www.didimkorea.net/news/489733
AI를 활용한 업무 자동화,아산 농업기술센터,https://www.didimkorea.net/news/484721
강사 자격증 과정: Google All in one,미래디지털AI협회,https://www.esgtimes.kr/news/469963
강사 자격증 과정: 바이브코딩(Vibe Coding),미래디지털AI협회,https://www.esgtimes.kr/news/470538
강사대상 온라인 브랜딩 “네이버 인물등록”,미래디지털AI협회,https://www.esgtimes.kr/news/469963
NH농협손해보험 지점장 대상 AI활용 효율화,NH 농협손해보험,
강사 대상 “AI 영상 만들기”,미래디지털AI협회,http://knpp.co.kr/news/445325
AI 및 디지털 기술 적극 활용하기,식약처,http://knpp.co.kr/news/442489
AI 활용한 ‘글’쓰기,미래디지털AI협회,https://www.hdh365.co.kr/news/435103
AI 올바른 마케팅,프라임에셋 본사,
AI영상 제작 올인원 특강,한국강사교육진흥원,https://www.lecturernews.com/news/articleView.html?idxno=188585
시니어 AI활용,부천 한울빛도서관,https://www.esgtimes.kr/news/445327
"LLM사용, 데이터분석, AI윤리, 보고서 작성",부천시 공무원,https://www.esgtimes.kr/news/444932
강사들의 업무 효율화,미래디지털AI협회,https://www.didimkorea.net/news/489287
기업 임직원 AI데이터 활용,안산 상공회의소,https://www.sbma.kr/news_gisa/gisa_view.htm?gisa_category=01000000&gisa_idx=71686&date_y=&date_m=
생성형AI로 단숨에 해결하는 업무혁신,광주광역시 교통공사,https://www.fntoday.co.kr/news/articleView.html?idxno=363375
강사교육: 전문성 있는 교안 만들기,미래디지털AI협회,
빅데이터 생활에 이용하기,안산 초지종합사회복지관,
시니어를 위한 AI (스마트폰) 활용,광명종합복지관,
AI 트렌드,디딤돌,
"내 손안의 AI 비서, 생활속 챗GPT 활용",양천지역자활센터,
디지털배움터 - 디지털 안내사 면접관,창동 아우르네,
"사례관리, 이제 100배 빠르게! 스마트한 프롬프트 활용법",부천시 상동종합사회복지관,https://www.esgtimes.kr/news/445327
생성형AI 활용을 통한 기업 임직원 업무효율화 끝장내기,(주)신영,https://www.fntoday.co.kr/news/articleView.html?idxno=357737
생성형AI로 단숨에 해결하는 업무혁신,광주광역시 시청,https://www.fntoday.co.kr/news/articleView.html?idxno=363375
AI윤리,뉴미디어교육연구소,
시니어를 위한 AI (스마트폰) 활용,광명시립 하안노인종합복지관,
생성형AI로 단숨에 해결하는 업무혁신,광주광역시 시청,https://www.fntoday.co.kr/news/articleView.html?idxno=355595
시니어를 위한 AI윤리 생활,한국디지털튜터협회,
"Stibee, Maily 등을 활용한 사회서비스 기관 뉴스레터 제작하기",부천시 상동종합사회복지관,
AI 가상인간 & Clipchamp를 활용한 사회서비스 홍보 콘텐츠 제작,부천시 상동종합사회복지관,https://www.fntoday.co.kr/news/articleView.html?idxno=355594
ChatGPT&AI를 활용한 프로그램기획서 작성,부천시 상동종합사회복지관,https://www.fntoday.co.kr/news/articleView.html?idxno=354189
CEO대상 생성형AI 활용 업무혁신과 리더의 역할,안산 상공회의소,https://www.fntoday.co.kr/news/articleView.html?idxno=364724
AI를 활용한 교수전략 및 매체제작 -2,거창 평생교육원,https://www.fntoday.co.kr/news/articleView.html?idxno=352928
AI를 활용한 교수전략 및 매체제작 -1,거창 평생교육원,https://www.fntoday.co.kr/news/articleView.html?idxno=352928
생성형 AI 활용 강사 양성,평택시청,
나만의 챗봇 만들기,뉴미디어교육연구소,
4차 산업혁명과 생성형AI 시대의 여성 리더십,연수구청 여성대학,https://www.fntoday.co.kr/news/articleView.html?idxno=350304
"챗GPT, 데이터분석, AI윤리, 보고서 작성",부천시 공무원,https://m.fntoday.co.kr/news/articleView.html?idxno=369576
행사 시나리오 커뮤니케이션 + PPT제작 + 보도자료 작성,강원도 태백소방학교,
"챗GPT, 데이터분석, AI윤리, 보고서 작성",부천시 공무원,https://www.fntoday.co.kr/news/articleView.html?idxno=365069
AI시대 “잘 노는 아이”가 세상을 바꾼다,경기도 공무원 인재개발원,
